2020-04-20 14:04:980 INFO  AddCustomerPage :38 - Entering FirstName : Hermoineto firstname field :[[ChromeDriver: chrome on WINDOWS (74fff41d1120dd851f0576eea7083f31)] -> xpath: //input[@placeholder='First Name']]
2020-04-20 14:04:100 INFO  AddCustomerPage :44 - Entering LastName :Grangerto lastname field :[[ChromeDriver: chrome on WINDOWS (74fff41d1120dd851f0576eea7083f31)] -> xpath: //input[@placeholder='Last Name']]
2020-04-20 14:04:217 INFO  AddCustomerPage :49 - Entering Postcode :E859ACin postcode field :[[ChromeDriver: chrome on WINDOWS (74fff41d1120dd851f0576eea7083f31)] -> xpath: //input[@placeholder='Post Code']]
2020-04-20 14:04:293 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:416 INFO  HomePage :42 - Clicking On BankManager Login :[[ChromeDriver: chrome on WINDOWS (55efbe2ca7bc924fd1710b81d9856306)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 14:04:657 INFO  BankManagerLoginPage :36 - Clicking On Add Customer Tab :[[ChromeDriver: chrome on WINDOWS (55efbe2ca7bc924fd1710b81d9856306)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-20 14:04:38 INFO  AddCustomerPage :38 - Entering FirstName : Hermoineto firstname field :[[ChromeDriver: chrome on WINDOWS (55efbe2ca7bc924fd1710b81d9856306)] -> xpath: //input[@placeholder='First Name']]
2020-04-20 14:04:148 INFO  AddCustomerPage :44 - Entering LastName :Grangerto lastname field :[[ChromeDriver: chrome on WINDOWS (55efbe2ca7bc924fd1710b81d9856306)] -> xpath: //input[@placeholder='Last Name']]
2020-04-20 14:04:250 INFO  AddCustomerPage :49 - Entering Postcode :E859ACin postcode field :[[ChromeDriver: chrome on WINDOWS (55efbe2ca7bc924fd1710b81d9856306)] -> xpath: //input[@placeholder='Post Code']]
2020-04-20 14:04:654 INFO  BankManagerLoginPage :53 - Clicking On Home Button :[[ChromeDriver: chrome on WINDOWS (55efbe2ca7bc924fd1710b81d9856306)] -> xpath: //button[@class='btn home']]
2020-04-20 14:04:122 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:767 INFO  HomePage :42 - Clicking On BankManager Login :[[ChromeDriver: chrome on WINDOWS (4d6a31557b6ad2fffa10eb907546d074)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 14:04:20 INFO  BankManagerLoginPage :36 - Clicking On Add Customer Tab :[[ChromeDriver: chrome on WINDOWS (4d6a31557b6ad2fffa10eb907546d074)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-20 14:04:389 INFO  AddCustomerPage :38 - Entering FirstName : Hermoineto firstname field :[[ChromeDriver: chrome on WINDOWS (4d6a31557b6ad2fffa10eb907546d074)] -> xpath: //input[@placeholder='First Name']]
2020-04-20 14:04:492 INFO  AddCustomerPage :44 - Entering LastName :Grangerto lastname field :[[ChromeDriver: chrome on WINDOWS (4d6a31557b6ad2fffa10eb907546d074)] -> xpath: //input[@placeholder='Last Name']]
2020-04-20 14:04:591 INFO  AddCustomerPage :49 - Entering Postcode :E859ACin postcode field :[[ChromeDriver: chrome on WINDOWS (4d6a31557b6ad2fffa10eb907546d074)] -> xpath: //input[@placeholder='Post Code']]
2020-04-20 14:04:617 INFO  AddCustomerPage :53 - Clicking On AddCustomer Button :[[ChromeDriver: chrome on WINDOWS (4d6a31557b6ad2fffa10eb907546d074)] -> xpath: //form[@name='myForm']//button[contains(text(),'Add Customer')]]
2020-04-20 14:04:26 INFO  BankManagerLoginPage :53 - Clicking On Home Button :[[ChromeDriver: chrome on WINDOWS (4d6a31557b6ad2fffa10eb907546d074)] -> xpath: //button[@class='btn home']]
2020-04-20 14:04:961 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:621 INFO  HomePage :42 - Clicking On BankManager Login :[[ChromeDriver: chrome on WINDOWS (316b72c996b70bddbfefcce53a6cf4a0)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 14:04:877 INFO  BankManagerLoginPage :43 - Clicking On Open Account Tab :[[ChromeDriver: chrome on WINDOWS (316b72c996b70bddbfefcce53a6cf4a0)] -> xpath: //button[contains(text(),'Open Account')]]
2020-04-20 14:04:89 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:408 INFO  HomePage :42 - Clicking On BankManager Login :[[ChromeDriver: chrome on WINDOWS (c77a6d1b01da153709244808cf8aab8c)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 14:04:552 INFO  BankManagerLoginPage :43 - Clicking On Open Account Tab :[[ChromeDriver: chrome on WINDOWS (c77a6d1b01da153709244808cf8aab8c)] -> xpath: //button[contains(text(),'Open Account')]]
2020-04-20 14:04:203 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:907 INFO  HomePage :42 - Clicking On BankManager Login :[[ChromeDriver: chrome on WINDOWS (f9cb3f32455683e515a43d7793e38ed1)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 14:04:50 INFO  BankManagerLoginPage :43 - Clicking On Open Account Tab :[[ChromeDriver: chrome on WINDOWS (f9cb3f32455683e515a43d7793e38ed1)] -> xpath: //button[contains(text(),'Open Account')]]
2020-04-20 14:04:692 INFO  OpenAccountPage :34 - Selecting Customer Name :Hermoine GrangerOn Customer Name Field :[[ChromeDriver: chrome on WINDOWS (f9cb3f32455683e515a43d7793e38ed1)] -> xpath: //select[@id='userSelect']]
2020-04-20 14:04:853 INFO  OpenAccountPage :40 - Selecting currency :[[ChromeDriver: chrome on WINDOWS (f9cb3f32455683e515a43d7793e38ed1)] -> id: currency]in the currency field :[[ChromeDriver: chrome on WINDOWS (f9cb3f32455683e515a43d7793e38ed1)] -> id: currency]
2020-04-20 14:04:873 INFO  OpenAccountPage :45 - Clicking On Process Button :[[ChromeDriver: chrome on WINDOWS (f9cb3f32455683e515a43d7793e38ed1)] -> xpath: //button[contains(text(),'Process')]]
2020-04-20 14:04:76 INFO  AccountPage :53 - Clicking On Home Button :[[ChromeDriver: chrome on WINDOWS (f9cb3f32455683e515a43d7793e38ed1)] -> xpath: //button[@class='btn home']]
2020-04-20 14:04:406 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:883 INFO  HomePage :35 - Clicking On Customer Login :[[ChromeDriver: chrome on WINDOWS (50d3890c0b7a833ed93959b0472b4f85)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-20 14:04:169 INFO  CustomerLoginPage :44 - Selecting Customer Name From DropDown :Hermoine Grangerin dropdown field[[ChromeDriver: chrome on WINDOWS (50d3890c0b7a833ed93959b0472b4f85)] -> xpath: //select[@id='userSelect']]
2020-04-20 14:04:912 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:668 INFO  HomePage :35 - Clicking On Customer Login :[[ChromeDriver: chrome on WINDOWS (eface2d31530e9cfb059949c88d6f2cc)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-20 14:04:952 INFO  CustomerLoginPage :44 - Selecting Customer Name From DropDown :Hermoine Grangerin dropdown field[[ChromeDriver: chrome on WINDOWS (eface2d31530e9cfb059949c88d6f2cc)] -> xpath: //select[@id='userSelect']]
2020-04-20 14:04:331 INFO  CustomerLoginPage :38 - Clicking On Login Button :[[ChromeDriver: chrome on WINDOWS (eface2d31530e9cfb059949c88d6f2cc)] -> xpath: //button[@class='btn btn-default']]
2020-04-20 14:04:645 INFO  AccountPage :107 - Clicking On LogOut Button :Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn logout']'
2020-04-20 14:04:708 INFO  CustomerLoginPage :52 - Checking Name Label Displayed :[[ChromeDriver: chrome on WINDOWS (eface2d31530e9cfb059949c88d6f2cc)] -> xpath: //label[contains(text(),'Your Name :')]]
2020-04-20 14:04:816 INFO  BankManagerLoginPage :53 - Clicking On Home Button :[[ChromeDriver: chrome on WINDOWS (eface2d31530e9cfb059949c88d6f2cc)] -> xpath: //button[@class='btn home']]
2020-04-20 14:04:585 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:201 INFO  HomePage :35 - Clicking On Customer Login :[[ChromeDriver: chrome on WINDOWS (27aba8e1852eafda0754836ae669f0e9)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-20 14:04:485 INFO  CustomerLoginPage :44 - Selecting Customer Name From DropDown :Hermoine Grangerin dropdown field[[ChromeDriver: chrome on WINDOWS (27aba8e1852eafda0754836ae669f0e9)] -> xpath: //select[@id='userSelect']]
2020-04-20 14:04:917 INFO  CustomerLoginPage :38 - Clicking On Login Button :[[ChromeDriver: chrome on WINDOWS (27aba8e1852eafda0754836ae669f0e9)] -> xpath: //button[@class='btn btn-default']]
2020-04-20 14:04:93 INFO  AccountPage :59 - Clicking On Deposit Button :[[ChromeDriver: chrome on WINDOWS (27aba8e1852eafda0754836ae669f0e9)] -> xpath: //button[contains(text(),'Deposit')]]
2020-04-20 14:04:547 INFO  AccountPage :65 - Entering Amount To Deposit : 100in deposit field : [[ChromeDriver: chrome on WINDOWS (27aba8e1852eafda0754836ae669f0e9)] -> xpath: //input[@placeholder='amount']]
2020-04-20 14:04:654 INFO  AccountPage :72 - Clicking on Deposit Button :[[ChromeDriver: chrome on WINDOWS (27aba8e1852eafda0754836ae669f0e9)] -> xpath: //button[@class='btn btn-default']]
2020-04-20 14:04:674 INFO  AccountPage :119 - Getting Error Message :[[ChromeDriver: chrome on WINDOWS (27aba8e1852eafda0754836ae669f0e9)] -> xpath: //span[@class='error ng-binding']]
2020-04-20 14:04:804 INFO  AccountPage :53 - Clicking On Home Button :[[ChromeDriver: chrome on WINDOWS (27aba8e1852eafda0754836ae669f0e9)] -> xpath: //button[@class='btn home']]
2020-04-20 14:04:79 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:716 INFO  HomePage :35 - Clicking On Customer Login :[[ChromeDriver: chrome on WINDOWS (61fe056220666b39dabca743987fb502)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-20 14:04:967 INFO  CustomerLoginPage :44 - Selecting Customer Name From DropDown :Hermoine Grangerin dropdown field[[ChromeDriver: chrome on WINDOWS (61fe056220666b39dabca743987fb502)] -> xpath: //select[@id='userSelect']]
2020-04-20 14:04:479 INFO  CustomerLoginPage :38 - Clicking On Login Button :Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn btn-default']'
2020-04-20 14:04:570 INFO  AccountPage :84 - Clicking On Withdrawl Tab :[[ChromeDriver: chrome on WINDOWS (61fe056220666b39dabca743987fb502)] -> xpath: //button[contains(text(),'Withdrawl')]]
